"","SampleID","Date","Month","Year","Individual","SampleType","NumberReads","Unit","AgeYear","AgeMonth","AgeMonth_cat","Weaned","Sex","Parity","MomRank","MomRank_cat","Season","Rain30","Rain30_cat","MinT30","MinT30_cat","ReproState","Mother","MatchedMomSample"
"LID_103558","LID_103558",2018-07-18,"7","2018","F5","Adult female",164643,"A",10.42465753,124.754098360656,">18","No","Female","Multiparous",0.666666666666667,"Med","ColdWet",476.6,"Wet",8.028,"Cold","L2",NA,NA
"LID_103559","LID_103559",2018-07-18,"7","2018","F55","Adult female",84713,"N",18.89041096,226.065573770492,">18","No","Female","Multiparous",1,"High","ColdWet",476.6,"Wet",8.028,"Cold","L1",NA,NA
"LID_103560","LID_103560",2018-07-17,"7","2018","F22","Adult female",246566,"C5",14.42191781,172.590163934426,">18","No","Female","Multiparous",1,"High","ColdWet",466.6,"Wet",8.084,"Cold","L1",NA,NA
"LID_103561","LID_103561",2018-07-18,"7","2018","F2","Adult female",224654,"A",14.14246575,169.245901639344,">18","No","Female","Multiparous",0,"Low","ColdWet",476.6,"Wet",8.028,"Cold","L2",NA,NA
"LID_103564","LID_103564",2018-07-14,"7","2018","F53","Adult female",139660,"M1",9.452054795,113.114754098361,">18","No","Female","Multiparous",0.666666666666667,"Med","ColdWet",430.2,"Wet",8.16,"Cold","L1",NA,NA
"LID_103565","LID_103565",2018-07-14,"7","2018","F6","Adult female",148937,"A",7.843835616,93.8688524590164,">18","No","Female","Primiparous",1,"High","ColdWet",430.2,"Wet",8.16,"Cold","L1",NA,NA
"LID_103567","LID_103567",2018-07-13,"7","2018","F22","Adult female",202393,"C5",14.4109589,172.459016393443,">18","No","Female","Multiparous",1,"High","ColdWet",431.7,"Wet",8.180769231,"Cold","L1",NA,NA
"LID_103568","LID_103568",2018-07-13,"7","2018","F75","Adult female",268085,"V",19.45753425,232.852459016393,">18","No","Female","Multiparous",0.4,"Med","ColdWet",431.7,"Wet",8.180769231,"Cold","L1",NA,NA
"LID_103569","LID_103569",2018-07-13,"7","2018","F82","Adult female",1144315,"Z3",17.30958904,207.147540983607,">18","No","Female","Multiparous",1,"High","ColdWet",431.7,"Wet",8.180769231,"Cold","L1",NA,NA
"LID_103570","LID_103570",2018-07-13,"7","2018","F13","Adult female",146013,"B3",10.70958904,128.16393442623,">18","No","Female","Multiparous",0.5,"Med","ColdWet",431.7,"Wet",8.180769231,"Cold","L2",NA,NA
"LID_103594","LID_103594",2017-11-23,"11","2017","F45","Adult female",212089,"M1",19.90684932,238.229508196721,">18","No","Female","Multiparous",0.857142857142857,"High","ColdDry",76.6,"Dry",7.480645161,"Cold","L1",NA,NA
"LID_103595","LID_103595",2018-02-10,"2","2018","F73","Adult female",241305,"V",10.20273973,122.098360655738,">18",NA,"Female",NA,NA,NA,"HotDry",0,"Dry",7.017857143,"Cold","Pregnant",NA,NA
"LID_103596","LID_103596",2018-02-01,"2","2018","F27","Adult female",260642,"D",15.02465753,179.803278688525,">18",NA,"Female",NA,NA,NA,"HotDry",0,"Dry",6.384615385,"Cold","Cycling",NA,NA
"LID_103607","LID_103607",2018-02-01,"2","2018","F43","Adult female",141027,"M2",20.45205479,244.754098360656,">18","No","Female","Multiparous",0.75,"High","HotDry",0,"Dry",6.384615385,"Cold","L1",NA,NA
"LID_103608","LID_103608",2018-05-18,"5","2018","F76","Adult female",178848,"Z5",26.96438356,322.688524590164,">18",NA,"Female",NA,NA,NA,"HotDry",70.5,"Dry",10.26666667,"Hot","Cycling",NA,NA
"LID_103612","LID_103612",2018-04-03,"4","2018","F75","Adult female",363681,"V",19.18082192,229.540983606557,">18","No","Female","Multiparous",0.4,"Med","HotDry",23.4,"Dry",8.26,"Hot","L1",NA,NA
